;;;;;;;
Anexo I - FDCA Fundos Habilitados 2023;;;;;;;
;;;;;;;
N�;CNPJ;IBGE;UF;Munic�pio/Estado;Banco;Ag�ncia;Conta
126;18006845000150;2904753;BA;Buritirama;001;8153;00000000000000020265
127;18692450000158;2904852;BA;Cabaceiras do Paragua�u;001;2085;00000000000000100013
128;23140101000163;2905008;BA;Cacul�;001;4573;00000000000000010006
129;19702601000174;2905107;BA;Ca�m;001;1693;00000000000000010251
130;12316993000194;2905206;BA;Caetit�;001;0230;00000000000000282022
131;31677315000100;2905305;BA;Cafarnaum;001;1696;00000000000000169501
132;24289775000197;2905404;BA;Cairu;001;0545;0000000000000055040X
133;63186456000108;2905602;BA;Camacan;001;0837;00000000000000284297
134;18118784000112;2905701;BA;Cama�ari;001;1238;00000000000001311409
135;10893701000150;2906303;BA;Canavieiras;001;0143;00000000000000217603
136;35014333000154;2906402;BA;Candeal;001;1525;00000000000000123471
137;29996435000110;2906501;BA;Candeias;001;1726;00000000000000836311
138;23811628000172;2906857;BA;Capela do Alto Alegre;001;4175;00000000000000081760
139;28941344000114;2906873;BA;Capim Grosso;001;3046;00000000000000301574
140;31720861000178;2907301;BA;Castro Alves;001;0693;00000000000001108433
141;12574686000103;2907509;BA;Catu;001;1762;00000000000000210226
142;27412641000100;2907806;BA;C�cero Dantas;001;1774;00000000000000279668
143;31763031000128;2908002;BA;Coaraci;001;6017;00000000000000193984
144;45377276000121;2908200;BA;Concei��o da Feira;001;1787;00000000000000240184
145;23571137000100;2908408;BA;Concei��o do Coit�;001;1047;00000000000000325317
146;29983276000119;2908606;BA;Conde;001;3837;00000000000000038733
147;22673780000173;2908804;BA;Contendas do Sincor�;001;1152;00000000000000240214
148;28941844000156;2909000;BA;Cordeiros;001;1048;00000000000000285374
149;42787047000197;2909109;BA;Coribe;001;0569;0000000000000042269X
150;17911765000186;2909307;BA;Correntina;001;2009;00000000000000112143
151;21284845000126;2909604;BA;Cris�polis;001;4490;00000000000000100633
152;13414965000172;2909703;BA;Crist�polis;001;1486;00000000000000113425
153;18024063000143;2909802;BA;Cruz das Almas;001;0414;00000000000000470562
154;25212834000191;2910057;BA;Dias d'�vila;001;3091;00000000000000527076
155;31507068000195;2910107;BA;Dom Bas�lio;001;4186;00000000000000120146
156;23559421000152;2910503;BA;Entre Rios;104;4662;00000000000000044312
157;01580116000100;2900000;BA;Estado da Bahia;001;3832;00000000000009930612
158;42782145000131;2910701;BA;Euclides da Cunha;001;0791;0000000000000047455X
159;19011324000153;2910727;BA;Eun�polis;001;0792;00000000000000618330
160;23778481000166;2910750;BA;F�tima;001;8152;00000000000000020265
161;20641308000123;2910800;BA;Feira de Santana;001;0041;00000000000006002277
162;14536520000128;2911006;BA;Floresta Azul;001;0564;00000000000000181900
